"count","name","unicode","bytes","emojiid","emoji","rencoding","dens","dens.sm","rank"
19,"see-no-evil monkey","U+1F648","\xF0\x9F\x99\x88",51,"🙈","<ed><a0><bd><ed><b9><88>",0.4,0.000408055005814784,63
19,"growing heart","U+1F497","\xF0\x9F\x92\x97",559,"💗","<ed><a0><bd><ed><b2><97>",0.4,0.000408055005814784,64
18,"sparkles","U+2728","\xE2\x9C\xA8",70,"✨","<e2><9c><a8>",0.4,0.000387652255524045,65
18,"poultry leg","U+1F357","\xF0\x9F\x8D\x97",318,"🍗","<ed><a0><bc><ed><bd><97>",0.4,0.000387652255524045,66
18,"information desk person","U+1F481","\xF0\x9F\x92\x81",537,"💁","<ed><a0><bd><ed><b2><81>",0.4,0.000387652255524045,67
18,"purple heart","U+1F49C","\xF0\x9F\x92\x9C",564,"💜","<ed><a0><bd><ed><b2><9c>",0.4,0.000387652255524045,68
17,"astonished face","U+1F632","\xF0\x9F\x98\xB2",35,"😲","<ed><a0><bd><ed><b8><b2>",0.3,0.000367249505233305,69
17,"white heavy check mark","U+2705","\xE2\x9C\x85",60,"✅","<e2><9c><85>",0.3,0.000367249505233305,70
17,"expressionless face","U+1F611","\xF0\x9F\x98\x91",725,"😑","<ed><a0><bd><ed><b8><91>",0.3,0.000367249505233305,71
16,"pensive face","U+1F614","\xF0\x9F\x98\x94",15,"😔","<ed><a0><bd><ed><b8><94>",0.3,0.000346846754942566,72
15,"heavy check mark","U+2714","\xE2\x9C\x94",68,"✔","<e2><9c><94>",0.3,0.000326444004651827,73
14,"face with look of triumph","U+1F624","\xF0\x9F\x98\xA4",26,"😤","<ed><a0><bd><ed><b8><a4>",0.3,0.000306041254361088,74
14,"white smiling face","U+263A","\xE2\x98\xBA",210,"☺","<e2><98><ba>",0.3,0.000306041254361088,75
14,"glowing star","U+1F31F","\xF0\x9F\x8C\x9F",282,"🌟","<ed><a0><bc><ed><bc><9f>",0.3,0.000306041254361088,76
14,"white down pointing backhand index","U+1F447","\xF0\x9F\x91\x87",482,"👇","<ed><a0><bd><ed><b1><87>",0.3,0.000306041254361088,77
14,"large red circle","U+1F534","\xF0\x9F\x94\xB4",693,"🔴","<ed><a0><bd><ed><b4><b4>",0.3,0.000306041254361088,78
13,"police cars revolving light","U+1F6A8","\xF0\x9F\x9A\xA8",106,"🚨","<ed><a0><bd><ed><ba><a8>",0.3,0.000285638504070349,79
13,"regional indicator symbol letter g + regional indicator symbol letter b","U+1F1EC U+1F1E7","\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7",138,"🇬🇧","<ed><a0><bc><ed><b7><ac><ed><a0><bc><ed><b7><a7>",0.3,0.000285638504070349,80
13,"musical note","U+1F3B5","\xF0\x9F\x8E\xB5",396,"🎵","<ed><a0><bc><ed><be><b5>",0.3,0.000285638504070349,81
13,"pile of poo","U+1F4A9","\xF0\x9F\x92\xA9",577,"💩","<ed><a0><bd><ed><b2><a9>",0.3,0.000285638504070349,82
12,"face with stuck-out tongue and tightly-closed eyes","U+1F61D","\xF0\x9F\x98\x9D",20,"😝","<ed><a0><bd><ed><b8><9d>",0.2,0.000265235753779609,83
12,"happy person raising one hand","U+1F64B","\xF0\x9F\x99\x8B",54,"🙋","<ed><a0><bd><ed><b9><8b>",0.2,0.000265235753779609,84
12,"black right-pointing triangle","U+25B6","\xE2\x96\xB6",197,"▶","<e2><96><b6>",0.2,0.000265235753779609,85
12,"skull","U+1F480","\xF0\x9F\x92\x80",536,"💀","<ed><a0><bd><ed><b2><80>",0.2,0.000265235753779609,86
12,"kiss mark","U+1F48B","\xF0\x9F\x92\x8B",547,"💋","<ed><a0><bd><ed><b2><8b>",0.2,0.000265235753779609,87
12,"camera","U+1F4F7","\xF0\x9F\x93\xB7",648,"📷","<ed><a0><bd><ed><b3><b7>",0.2,0.000265235753779609,88
12,"hushed face","U+1F62F","\xF0\x9F\x98\xAF",735,"😯","<ed><a0><bd><ed><b8><af>",0.2,0.000265235753779609,89
11,"face with medical mask","U+1F637","\xF0\x9F\x98\xB7",38,"😷","<ed><a0><bd><ed><b8><b7>",0.2,0.00024483300348887,90
11,"hamburger","U+1F354","\xF0\x9F\x8D\x94",315,"🍔","<ed><a0><bc><ed><bd><94>",0.2,0.00024483300348887,91
11,"musical score","U+1F3BC","\xF0\x9F\x8E\xBC",403,"🎼","<ed><a0><bc><ed><be><bc>",0.2,0.00024483300348887,92
11,"crown","U+1F451","\xF0\x9F\x91\x91",492,"👑","<ed><a0><bd><ed><b1><91>",0.2,0.00024483300348887,93
11,"neutral face","U+1F610","\xF0\x9F\x98\x90",724,"😐","<ed><a0><bd><ed><b8><90>",0.2,0.00024483300348887,94
10,"dancer","U+1F483","\xF0\x9F\x92\x83",539,"💃","<ed><a0><bd><ed><b2><83>",0.2,0.000224430253198131,95
10,"ring","U+1F48D","\xF0\x9F\x92\x8D",549,"💍","<ed><a0><bd><ed><b2><8d>",0.2,0.000224430253198131,96
10,"large blue circle","U+1F535","\xF0\x9F\x94\xB5",694,"🔵","<ed><a0><bd><ed><b4><b5>",0.2,0.000224430253198131,97
9,"persevering face","U+1F623","\xF0\x9F\x98\xA3",25,"😣","<ed><a0><bd><ed><b8><a3>",0.2,0.000204027502907392,98
9,"tired face","U+1F62B","\xF0\x9F\x98\xAB",31,"😫","<ed><a0><bd><ed><b8><ab>",0.2,0.000204027502907392,99
9,"black rightwards arrow","U+27A1","\xE2\x9E\xA1",85,"➡","<e2><9e><a1>",0.2,0.000204027502907392,100
9,"white up pointing index","U+261D","\xE2\x98\x9D",209,"☝","<e2><98><9d>",0.2,0.000204027502907392,101
9,"broken heart","U+1F494","\xF0\x9F\x92\x94",556,"💔","<ed><a0><bd><ed><b2><94>",0.2,0.000204027502907392,102
9,"revolving hearts","U+1F49E","\xF0\x9F\x92\x9E",566,"💞","<ed><a0><bd><ed><b2><9e>",0.2,0.000204027502907392,103
9,"smiling face with horns","U+1F608","\xF0\x9F\x98\x88",722,"😈","<ed><a0><bd><ed><b8><88>",0.2,0.000204027502907392,104
9,"face with stuck-out tongue","U+1F61B","\xF0\x9F\x98\x9B",729,"😛","<ed><a0><bd><ed><b8><9b>",0.2,0.000204027502907392,105
8,"alarm clock","U+23F0","\xE2\x8F\xB0",193,"⏰","<e2><8f><b0>",0.2,0.000183624752616653,106
8,"high voltage sign","U+26A1","\xE2\x9A\xA1",232,"⚡","<e2><9a><a1>",0.2,0.000183624752616653,107
8,"medium white circle","U+26AA","\xE2\x9A\xAA",233,"⚪","<e2><9a><aa>",0.2,0.000183624752616653,108
8,"soccer ball","U+26BD","\xE2\x9A\xBD",235,"⚽","<e2><9a><bd>",0.2,0.000183624752616653,109
8,"rainbow","U+1F308","\xF0\x9F\x8C\x88",270,"🌈","<ed><a0><bc><ed><bc><88>",0.2,0.000183624752616653,110
8,"confetti ball","U+1F38A","\xF0\x9F\x8E\x8A",365,"🎊","<ed><a0><bc><ed><be><8a>",0.2,0.000183624752616653,111
8,"money with wings","U+1F4B8","\xF0\x9F\x92\xB8",589,"💸","<ed><a0><bd><ed><b2><b8>",0.2,0.000183624752616653,112
8,"steam locomotive","U+1F682","\xF0\x9F\x9A\x82",739,"🚂","<ed><a0><bd><ed><ba><82>",0.2,0.000183624752616653,113
7,"disappointed but relieved face","U+1F625","\xF0\x9F\x98\xA5",27,"😥","<ed><a0><bd><ed><b8><a5>",0.1,0.000163222002325914,114
7,"rocket","U+1F680","\xF0\x9F\x9A\x80",87,"🚀","<ed><a0><bd><ed><ba><80>",0.1,0.000163222002325914,115
7,"trade mark sign","U+2122","\xE2\x84\xA2",177,"™","<e2><84><a2>",0.1,0.000163222002325914,116
7,"downwards black arrow","U+2B07","\xE2\xAC\x87",251,"⬇","<e2><ac><87>",0.1,0.000163222002325914,117
7,"four leaf clover","U+1F340","\xF0\x9F\x8D\x80",297,"🍀","<ed><a0><bc><ed><bd><80>",0.1,0.000163222002325914,118
7,"movie camera","U+1F3A5","\xF0\x9F\x8E\xA5",380,"🎥","<ed><a0><bc><ed><be><a5>",0.1,0.000163222002325914,119
7,"waving hand sign","U+1F44B","\xF0\x9F\x91\x8B",486,"👋","<ed><a0><bd><ed><b1><8b>",0.1,0.000163222002325914,120
7,"beating heart","U+1F493","\xF0\x9F\x92\x93",555,"💓","<ed><a0><bd><ed><b2><93>",0.1,0.000163222002325914,121
7,"sleeping symbol","U+1F4A4","\xF0\x9F\x92\xA4",572,"💤","<ed><a0><bd><ed><b2><a4>",0.1,0.000163222002325914,122
7,"banknote with dollar sign","U+1F4B5","\xF0\x9F\x92\xB5",588,"💵","<ed><a0><bd><ed><b2><b5>",0.1,0.000163222002325914,123
7,"confused face","U+1F615","\xF0\x9F\x98\x95",726,"😕","<ed><a0><bd><ed><b8><95>",0.1,0.000163222002325914,124
