"name","unicode","bytes","emojiid","emoji","rencoding"
"white exclamation mark ornament","U+2755","\xE2\x9D\x95",79,"❕","<e2><9d><95>"
"heavy exclamation mark symbol","U+2757","\xE2\x9D\x97",80,"❗","<e2><9d><97>"
"heavy black heart","U+2764","\xE2\x9D\xA4",81,"❤","<e2><9d><a4>"
"heavy plus sign","U+2795","\xE2\x9E\x95",82,"➕","<e2><9e><95>"
"heavy minus sign","U+2796","\xE2\x9E\x96",83,"➖","<e2><9e><96>"
"heavy division sign","U+2797","\xE2\x9E\x97",84,"➗","<e2><9e><97>"
"black rightwards arrow","U+27A1","\xE2\x9E\xA1",85,"➡","<e2><9e><a1>"
"curly loop","U+27B0","\xE2\x9E\xB0",86,"➰","<e2><9e><b0>"
"rocket","U+1F680","\xF0\x9F\x9A\x80",87,"🚀","<ed><a0><bd><ed><ba><80>"
"railway car","U+1F683","\xF0\x9F\x9A\x83",88,"🚃","<ed><a0><bd><ed><ba><83>"
"high-speed train","U+1F684","\xF0\x9F\x9A\x84",89,"🚄","<ed><a0><bd><ed><ba><84>"
"high-speed train with bullet nose","U+1F685","\xF0\x9F\x9A\x85",90,"🚅","<ed><a0><bd><ed><ba><85>"
"metro","U+1F687","\xF0\x9F\x9A\x87",91,"🚇","<ed><a0><bd><ed><ba><87>"
"station","U+1F689","\xF0\x9F\x9A\x89",92,"🚉","<ed><a0><bd><ed><ba><89>"
"bus","U+1F68C","\xF0\x9F\x9A\x8C",93,"🚌","<ed><a0><bd><ed><ba><8c>"
"bus stop","U+1F68F","\xF0\x9F\x9A\x8F",94,"🚏","<ed><a0><bd><ed><ba><8f>"
"ambulance","U+1F691","\xF0\x9F\x9A\x91",95,"🚑","<ed><a0><bd><ed><ba><91>"
"fire engine","U+1F692","\xF0\x9F\x9A\x92",96,"🚒","<ed><a0><bd><ed><ba><92>"
"police car","U+1F693","\xF0\x9F\x9A\x93",97,"🚓","<ed><a0><bd><ed><ba><93>"
"taxi","U+1F695","\xF0\x9F\x9A\x95",98,"🚕","<ed><a0><bd><ed><ba><95>"
"automobile","U+1F697","\xF0\x9F\x9A\x97",99,"🚗","<ed><a0><bd><ed><ba><97>"
"recreational vehicle","U+1F699","\xF0\x9F\x9A\x99",100,"🚙","<ed><a0><bd><ed><ba><99>"
"delivery truck","U+1F69A","\xF0\x9F\x9A\x9A",101,"🚚","<ed><a0><bd><ed><ba><9a>"
"ship","U+1F6A2","\xF0\x9F\x9A\xA2",102,"🚢","<ed><a0><bd><ed><ba><a2>"
"speedboat","U+1F6A4","\xF0\x9F\x9A\xA4",103,"🚤","<ed><a0><bd><ed><ba><a4>"
"horizontal traffic light","U+1F6A5","\xF0\x9F\x9A\xA5",104,"🚥","<ed><a0><bd><ed><ba><a5>"
"construction sign","U+1F6A7","\xF0\x9F\x9A\xA7",105,"🚧","<ed><a0><bd><ed><ba><a7>"
"police cars revolving light","U+1F6A8","\xF0\x9F\x9A\xA8",106,"🚨","<ed><a0><bd><ed><ba><a8>"
"triangular flag on post","U+1F6A9","\xF0\x9F\x9A\xA9",107,"🚩","<ed><a0><bd><ed><ba><a9>"
